,municipios_ibge
2033,2917409
2034,2917508
2035,2917607
2036,2917706
2037,2917805
2038,2917904
2039,2918001
2040,2918100
2041,2918209
2042,2918308
2043,2918357
2044,2918407
2045,2918456
2046,2918506
2047,2918555
2048,2918605
2049,2918704
2050,2918753
2051,2918803
2052,2918902
2053,2919009
2054,2919058
2055,2919108
2056,2919157
2057,2919207
2058,2919306
2059,2919405
2060,2919504
2061,2919553
2062,2919603
2063,2919702
2064,2919801
2065,2919900
2066,2919926
2067,2919959
2068,2920007
2069,2920106
2070,2920205
2071,2920304
2072,2920403
2073,2920452
2074,2920502
2075,2920601
2076,2920700
2077,2920809
2078,2920908
2079,2921005
2080,2921054
2081,2921104
2082,2921203
2083,2921302
2084,2921401
2085,2921450
2086,2921500
2087,2921609
2088,2921708
2089,2921807
2090,2921906
2091,2922003
2092,2922052
2093,2922102
2094,2922201
2095,2922250
2096,2922300
2097,2922409
2098,2922508
2099,2922607
2100,2922656
2101,2922706
2102,2922730
2103,2922755
2104,2922805
2105,2922854
2106,2922904
2107,2923001
2108,2923035
2109,2923050
2110,2923100
2111,2923209
2112,2923308
2113,2923357
2114,2923407
2115,2923506
2116,2923605
2117,2923704
2118,2923803
2119,2923902
2120,2924009
2121,2924058
2122,2924108
2123,2924207
2124,2924306
2125,2924405
2126,2924504
2127,2924603
2128,2924652
2129,2924678
2130,2924702
2131,2924801
2132,2924900
2133,2925006
2134,2925105
